127.0.0.1 - - [22/Jun/2016:15:48:40 +0800] "GET / HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:45 +0800] "GET /manager/login HTTP/1.1" 200 6687
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/jquery.dialog.iframe.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 6108
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/v0.1/jquery.validationEngine-zh_CN.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 9395
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /include/jQuery/jquery.ui.datepicker-zh.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/v0.1/jquery.validationEngine.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 74575
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/v0.1/common.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 13217
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/v0.1/jquery.iplugin.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/v0.1/jquery-1.9.0.min.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 93071
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/common_ajax2.0.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/jquery.CommonUtil.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 7831
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/xheditor/xheditor-1.2.1.min.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 68789
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /include/jQuery/jquery-ui-1.10.3.custom.min.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 228142
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/v0.1/spin.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/v0.1/demo.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/xheditor/xheditor_lang/zh-cn.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/show_page2.0.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 6445
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/v0.2/Cookie_Imp.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 3782
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/func/create_editor.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/HttpCookie.min.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 4558
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /include/jQuery/jquery.xhupload.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 5256
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/func/select_member.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 6822
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/common_listtable.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /include/jQuery/jquery.select.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 3184
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/common_cptb.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 13323
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/form_validator.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 10047
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /images/print/pageheader02.png;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 200 9900
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:46 +0800] "GET /js/v0.1/loading.js;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E?v=2.0 HTTP/1.1" 200 9322
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "POST /manager/check_login.action;jsessionid=3BC7B4651984A48B45FC2C7BB53E2A8E HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /include/jQuery/style.ui.smoothness/jquery-ui-1.10.3.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /css/v0.2/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /css/v0.1/validationEngine.jquery.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /include/jQuery/stylesheets/jquery.xhupload.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /css/v0.1/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /css/v0.2/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /js/v0.1/jquery-1.9.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /js/v0.1/jquery-migrate-1.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /manager/default.action HTTP/1.1" 200 8540
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /images/icon/ht_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:47 +0800] "GET /images/top/ht_tb7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /include/jQuery/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /include/jQuery/jquery.ui.datepicker-zh.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/v0.1/jquery.validationEngine.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/v0.1/jquery.validationEngine-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/jquery.dialog.iframe.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/v0.1/spin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/v0.1/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/jquery.CommonUtil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/v0.1/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/v0.1/jquery.iplugin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/common_ajax2.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/show_page2.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/xheditor/xheditor-1.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/xheditor/xheditor_lang/zh-cn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/func/create_editor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /include/jQuery/jquery.xhupload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/HttpCookie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/v0.2/Cookie_Imp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /include/jQuery/jquery.select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/func/select_member.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/common_listtable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/common_cptb.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/form_validator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /js/v0.1/loading.js?v=2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /images/top/ht_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:48 +0800] "GET /images/icon/ht_down.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:50 +0800] "GET /images/icon/ht_up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:50 +0800] "GET /images/icon/ht_right.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /include/dtree/dtree.css HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /sys/dept_list?jsrefress=1466581731863 HTTP/1.1" 200 28450
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /include/dtree/dtree.js HTTP/1.1" 200 18492
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /include/dtree/img/plusbottom.gif HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /include/dtree/img/join.gif HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /include/dtree/img/plus.gif HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /include/dtree/img/line.gif HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /include/dtree/img/page.gif HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /include/dtree/img/globe.gif HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /include/dtree/img/folder.gif HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /include/dtree/img/joinbottom.gif HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "GET /include/dtree/img/empty.gif HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:52 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:56 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:48:56 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:49:11 +0800] "GET /include/dtree/img/folderopen.gif HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:49:11 +0800] "GET /include/dtree/img/minusbottom.gif HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:49:12 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:49:12 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:49:13 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:49:13 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:49:14 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:49:14 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:35 +0800] "GET /manager/login HTTP/1.1" 200 5059
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:35 +0800] "GET /images/print/pageheader02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:36 +0800] "POST /manager/check_login.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:36 +0800] "GET /manager/default.action HTTP/1.1" 200 8540
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:37 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:44 +0800] "GET /sys/dept_list?jsrefress=1466581901587 HTTP/1.1" 200 28488
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:45 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:49 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:49 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:52 +0800] "GET /include/dtree/img/minus.gif HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:55 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:55 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:56 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:56 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:56 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:51:56 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:52:17 +0800] "GET /sys/position_list?jsrefress=1466581937356 HTTP/1.1" 200 11018
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:52:18 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:52:48 +0800] "GET /sys/position_load.action?viewFlag=mdy&position.uuid=2016061214987919 HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:52:48 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:52:52 +0800] "GET /sys/dept_list?jsrefress=1466581972130 HTTP/1.1" 200 28488
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:52:52 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:52:59 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:52:59 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:06 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:06 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:10 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:10 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:11 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:12 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:12 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:13 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:13 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:16 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:22 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:22 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:59 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:53:59 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:19 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:19 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:31 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:31 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:43 +0800] "GET /sys/position_list?jsrefress=1466582083623 HTTP/1.1" 200 11018
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:44 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:53 +0800] "GET /sys/sys_param?jsrefress=1466582093056 HTTP/1.1" 200 9493
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:53 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:55 +0800] "GET /sys/dept_list?jsrefress=1466582095008 HTTP/1.1" 200 28488
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:55 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:56 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:54:56 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:55:27 +0800] "GET /sys/position_list?jsrefress=1466582127730 HTTP/1.1" 200 11018
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:55:28 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:55:35 +0800] "GET /sys/position_load.action?viewFlag=mdy&position.uuid=2016061214987919 HTTP/1.1" 200 9355
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:55:35 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:57:46 +0800] "GET /sys/position_list?jsrefress=1466582266080 HTTP/1.1" 200 11018
0:0:0:0:0:0:0:1 - - [22/Jun/2016:15:57:46 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6222
