127.0.0.1 - - [18/Jul/2016:09:25:53 +0800] "GET / HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /css/animate.css HTTP/1.1" 200 61188
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /css/v0.2/nav.css HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/v0.1/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/v0.1/jquery-1.9.0.min.js HTTP/1.1" 200 93071
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /manager/default.action HTTP/1.1" 200 8680
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /include/jQuery/jquery.ui.datepicker-zh.js HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /include/jQuery/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 200 228142
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /images/top/ht_tb7.png HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /images/icon/ht_icon.png HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/v0.1/jquery.validationEngine-zh_CN.js HTTP/1.1" 200 9395
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/v0.1/jquery.validationEngine.js HTTP/1.1" 200 74575
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/jquery.dialog.iframe.js HTTP/1.1" 200 8714
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/v0.1/spin.js HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/v0.1/common.js HTTP/1.1" 200 13217
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/jquery.CommonUtil.js HTTP/1.1" 200 7831
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/v0.1/demo.js HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/v0.1/jquery.iplugin.js HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/common_ajax2.0.js HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/show_page2.0.js HTTP/1.1" 200 6445
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/xheditor/xheditor-1.2.1.min.js HTTP/1.1" 200 68789
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/xheditor/xheditor_lang/zh-cn.js HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/func/create_editor.js HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /include/jQuery/jquery.xhupload.js HTTP/1.1" 200 5256
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/HttpCookie.min.js HTTP/1.1" 200 4558
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/v0.2/Cookie_Imp.js HTTP/1.1" 200 3782
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /include/jQuery/jquery.select.js HTTP/1.1" 200 3184
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/func/select_member.js HTTP/1.1" 200 6822
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/common_listtable.js HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/common_cptb.js HTTP/1.1" 200 13323
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/form_validator.js HTTP/1.1" 200 10047
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /js/v0.1/loading.js?v=2.0 HTTP/1.1" 200 9322
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:06 +0800] "GET /images/top/ht_logo.gif HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:07 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6577
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:07 +0800] "GET /images/icon/ht_down.png HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:08 +0800] "GET /images/icon/ht_up.png HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:09 +0800] "GET /images/icon/ht_right.png HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:12 +0800] "GET /include/dtree/dtree.css HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "GET /sys/dept_list?jsrefress=1468805170711 HTTP/1.1" 200 42882
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "GET /include/dtree/dtree.js HTTP/1.1" 200 18492
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "GET /include/dtree/img/line.gif HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "GET /include/dtree/img/plusbottom.gif HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "GET /include/dtree/img/globe.gif HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "GET /include/dtree/img/plus.gif HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "GET /include/dtree/img/page.gif HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "GET /include/dtree/img/empty.gif HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "GET /include/dtree/img/folder.gif HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "GET /include/dtree/img/joinbottom.gif HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "GET /include/dtree/img/join.gif HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:13 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6577
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:52 +0800] "GET /include/dtree/img/folderopen.gif HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:52 +0800] "GET /include/dtree/img/minusbottom.gif HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:55 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:55 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:55 +0800] "GET /include/dtree/img/minus.gif HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:56 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:26:57 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 8284
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:16 +0800] "GET /css/v0.1/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:16 +0800] "GET /css/v0.1/validationEngine.jquery.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:16 +0800] "GET /include/jQuery/style.ui.smoothness/jquery-ui-1.10.3.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:16 +0800] "GET /css/v0.2/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:16 +0800] "GET /css/v0.2/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:16 +0800] "GET /css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:16 +0800] "GET /js/v0.1/jquery-1.9.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:16 +0800] "GET /include/jQuery/stylesheets/jquery.xhupload.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:16 +0800] "GET /js/v0.1/jquery-migrate-1.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:16 +0800] "GET /include/dtree/dtree.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /images/top/ht_tb7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /images/icon/ht_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /images/top/ht_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/jQuery/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/jQuery/jquery.ui.datepicker-zh.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/v0.1/jquery.validationEngine.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/v0.1/jquery.validationEngine-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/jquery.dialog.iframe.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/v0.1/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/jquery.CommonUtil.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/v0.1/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/v0.1/jquery.iplugin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/common_ajax2.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/show_page2.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/xheditor/xheditor-1.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/xheditor/xheditor_lang/zh-cn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/func/create_editor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/jQuery/jquery.xhupload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/HttpCookie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/v0.2/Cookie_Imp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/jQuery/jquery.select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/func/select_member.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/common_listtable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/common_cptb.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/form_validator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/v0.1/loading.js?v=2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /js/v0.1/spin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/dtree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /sys/dept_list?jsrefress=1468805170711 HTTP/1.1" 200 42898
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/globe.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/minusbottom.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/folderopen.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/empty.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/plus.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/folder.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/line.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/joinbottom.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/page.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/minus.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/join.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /include/dtree/img/plusbottom.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 6577
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /images/icon/ht_down.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:17 +0800] "GET /images/icon/ht_up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:38 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:31:39 +0800] "POST /common_ajax/json_ajax HTTP/1.1" 200 10050
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:19 +0800] "GET /include/jQuery/style.ui.smoothness/jquery-ui-1.10.3.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:19 +0800] "GET /css/v0.2/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:19 +0800] "GET /css/v0.1/validationEngine.jquery.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:19 +0800] "GET /css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:19 +0800] "GET /include/jQuery/stylesheets/jquery.xhupload.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:19 +0800] "GET /js/v0.1/jquery-1.9.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:19 +0800] "GET /js/v0.1/jquery-migrate-1.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:19 +0800] "GET /include/dtree/dtree.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:19 +0800] "GET /css/v0.2/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:19 +0800] "GET /css/v0.1/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /images/icon/ht_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /images/top/ht_tb7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /images/top/ht_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /sys/dept_list?jsrefress=1468805170711 HTTP/1.1" 200 42898
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /include/jQuery/jquery.ui.datepicker-zh.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /include/jQuery/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /js/v0.1/jquery.validationEngine-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /js/jquery.dialog.iframe.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /js/v0.1/jquery.validationEngine.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /js/v0.1/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /js/v0.1/jquery.iplugin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /js/show_page2.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /js/xheditor/xheditor-1.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /js/func/create_editor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /js/v0.1/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /js/xheditor/xheditor_lang/zh-cn.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2016:09:32:20 +0800] "GET /include/jQuery/jquery.xhupload.js HTTP/1.1" 304 -
